"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @JuddLegum: 2. Here is the list of corporations backing the legislative leaders behind the abortion ban:

@ATT
@exxonmobil
@pfizer
@Walm…",FALSE,0,NA,2019-06-14 22:11:15,FALSE,NA,"1139656572337082368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monsieurvoc",2615,TRUE,FALSE,NA,NA
"RT @SputnikInt: Still Grounded: #Boeing737 not welcome in German airspace during repositioning flight https://t.co/I5dvcShojd #Boeing737Max…",FALSE,0,NA,2019-06-14 22:09:34,FALSE,NA,"1139656147877552128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HwVoE66jmpJKcMF",4,TRUE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 22:08:34,FALSE,NA,"1139655899218239488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PresbyIPDivest",11,TRUE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 22:03:41,FALSE,NA,"1139654668525678592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeromolasky",11,TRUE,FALSE,NA,NA
"RT @stubborndebater: @tictoc But you are a socialist bubba @realDonaldTrump 
You want to control means of production, you set arbitrary pri…",FALSE,0,NA,2019-06-14 21:57:12,FALSE,NA,"1139653035586662401",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","queenoftheleft",1,TRUE,FALSE,NA,NA
"RT @intifada: Israel used “bunker buster” bombs made by US arms company @Boeing in two attacks on Gaza in which civilians were killed last…",FALSE,0,NA,2019-06-14 21:55:22,FALSE,NA,"1139652577551888386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Truth24141651",9,TRUE,FALSE,NA,NA
"RT @guillaumelaffon: <U+0001F1FA><U+0001F1F8>Boeing 777F<U+0001F1FA><U+0001F1F8> Rate this fabulous landing from 0 to 10<U+0001F440> I think this kind of video on YouTube deserves my time don’t…",FALSE,0,NA,2019-06-14 21:53:21,FALSE,NA,"1139652066660507648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","omargiraldez1",86,TRUE,FALSE,NA,NA
"best shot i could get while stopped at a red light, but LOOK at all these 787 Dreamliners lined up at @Boeing outsi… https://t.co/HKKIzbSn4c",FALSE,2,"JeffreyCook",2019-06-14 21:47:16,TRUE,"1139605861935058944","1139650538327465985","294015885","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeffreyCook",0,FALSE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 21:44:20,FALSE,NA,"1139649799614083073",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","zinemaniac",11,TRUE,FALSE,NA,NA
"RT @guillaumelaffon: <U+0001F1FA><U+0001F1F8>Boeing 777F<U+0001F1FA><U+0001F1F8> Rate this fabulous landing from 0 to 10<U+0001F440> I think this kind of video on YouTube deserves my time don’t…",FALSE,0,NA,2019-06-14 21:43:07,FALSE,NA,"1139649494532931585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bayern26l",86,TRUE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 21:42:37,FALSE,NA,"1139649368120844288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Birdonalift",11,TRUE,FALSE,NA,NA
"RT @SputnikInt: Still Grounded: #Boeing737 not welcome in German airspace during repositioning flight https://t.co/I5dvcShojd #Boeing737Max…",FALSE,0,NA,2019-06-14 21:41:34,FALSE,NA,"1139649102013222920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yzula",4,TRUE,FALSE,NA,NA
"RT @SputnikInt: Still Grounded: #Boeing737 not welcome in German airspace during repositioning flight https://t.co/I5dvcShojd #Boeing737Max…",FALSE,0,NA,2019-06-14 21:40:22,FALSE,NA,"1139648801319374849",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","flugennock",4,TRUE,FALSE,NA,NA
"Still Grounded: #Boeing737 not welcome in German airspace during repositioning flight https://t.co/I5dvcShojd… https://t.co/bVBpFx83v5",FALSE,2,NA,2019-06-14 21:40:10,TRUE,NA,"1139648749276454912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SputnikInt",4,FALSE,FALSE,NA,NA
"RT @guillaumelaffon: <U+0001F1FA><U+0001F1F8>Boeing 777F<U+0001F1FA><U+0001F1F8> Rate this fabulous landing from 0 to 10<U+0001F440> I think this kind of video on YouTube deserves my time don’t…",FALSE,0,NA,2019-06-14 21:39:29,FALSE,NA,"1139648577876221953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alsanned",86,TRUE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 21:38:32,FALSE,NA,"1139648338645651457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianDa07282281",11,TRUE,FALSE,NA,NA
"@codepink @Boeing @Boeing shame on you and anyone profiting from your filthy blood Money",FALSE,0,"codepink",2019-06-14 21:38:19,FALSE,"1139647901141889024","1139648284492873728","15822295","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peaceseeker34",0,FALSE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 21:37:55,FALSE,NA,"1139648184056209408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cattreebeing",11,TRUE,FALSE,NA,NA
"RT @codepink: Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing manufactures…",FALSE,0,NA,2019-06-14 21:37:39,FALSE,NA,"1139648118079623168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peaceseeker34",11,TRUE,FALSE,NA,NA
"Today outside @Boeing’s headquarters in Chicago. 

Children in #Gaza are being killed by the weapons that Boeing ma… https://t.co/LcNOn0OITm",FALSE,28,NA,2019-06-14 21:36:47,TRUE,NA,"1139647901141889024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","codepink",11,FALSE,FALSE,NA,NA
"#PAS19 @Boeing expected to notch new #777X, 787 #Dreamliner jet orders at Paris Air Show : https://t.co/BKk5d1A0ea… https://t.co/ItOuY9oQEu",FALSE,1,NA,2019-06-14 21:35:21,TRUE,NA,"1139647539659993088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PSBJaero",0,FALSE,FALSE,NA,NA
