"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@LEVIS can you tell me what colour my jeans are PC9 04511 1542?",FALSE,0,"LEVIS",2019-06-14 21:31:13,FALSE,NA,"1139646498076012546","203144854","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xmarksthescott",0,FALSE,FALSE,NA,NA
"RT @globalSDGawards: Hemp as a #fashion staple? 

@LEVIS, the maker of the iconic 501 jeans, is partnering with @outerknown_live to create…",FALSE,0,NA,2019-06-14 21:30:43,FALSE,NA,"1139646372968357889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tabithalco",3,TRUE,FALSE,NA,NA
"RT @H2O_stewards: These 21 innovative denim finishing techniques developed by @LEVIS  can help #apparel companies save #water in the produc…",FALSE,0,NA,2019-06-14 21:24:05,FALSE,NA,"1139644701869391872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lookslikehmm",1,TRUE,FALSE,NA,NA
"@tc5x2112 @angieha21 @LEVIS tommy u sent me snap streaks td u dont get to decides whos a normie",FALSE,1,"tc5x2112",2019-06-14 20:55:14,FALSE,"1139637076859785216","1139637442498179072","3126947429","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ihateedwizzle",0,FALSE,FALSE,NA,NA
"@tc5x2112 @angieha21 @LEVIS go rt a soccer video or something tommy go away",FALSE,1,"tc5x2112",2019-06-14 20:47:24,FALSE,"1139635316367790085","1139635470877581320","3126947429","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ihateedwizzle",0,FALSE,FALSE,NA,NA
"#Snapchatters can shop @LEVIS new #PrideMonth jacket via <U+0001F933> filter. https://t.co/gGQi7z4ri0
@engageyouthco",FALSE,0,NA,2019-06-14 20:42:54,FALSE,NA,"1139634337450795008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StephanieisLive",0,FALSE,FALSE,NA,NA
"RT @HanIvy_: In love with my new Levi's.. always struggle shopping for jeans but this time 10/10 @LEVIS https://t.co/b2tLusMRoA",FALSE,0,NA,2019-06-14 19:48:09,FALSE,NA,"1139620560873373696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AngelLV25",1,TRUE,FALSE,NA,NA
"RT @jtimberlake: BIG MOOD. Happy #501Day! @LEVIS https://t.co/BPLnUYfDQy",FALSE,0,NA,2019-06-14 19:33:40,FALSE,NA,"1139616917876928512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoLoGUDiNO",1084,TRUE,FALSE,NA,NA
"RT @SameerJainleo: Bitterest pills of life are swallow by father's 4 their family #FathersDay #SelfiewithDad #FathersDay2019 @Jockey @Hanes…",FALSE,0,NA,2019-06-14 19:15:32,FALSE,NA,"1139612354721660928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hasija_sameer",7,TRUE,FALSE,NA,NA
"RT @globalSDGawards: Hemp as a #fashion staple? 

@LEVIS, the maker of the iconic 501 jeans, is partnering with @outerknown_live to create…",FALSE,0,NA,2019-06-14 19:12:00,FALSE,NA,"1139611464405323776",NA,"<a href=""http://www.youngindianwomen.com"" rel=""nofollow"">SDGsbot</a>","SDGsbot",3,TRUE,FALSE,NA,NA
"Hemp as a #fashion staple? 

@LEVIS, the maker of the iconic 501 jeans, is partnering with @outerknown_live to crea… https://t.co/wAzeenlM9X",FALSE,2,NA,2019-06-14 19:02:22,TRUE,NA,"1139609037262196737",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","globalSDGawards",3,FALSE,FALSE,NA,NA
"@JackDunc1 Cute!! I just ordered mine ty @LEVIS <U+0001F60D>",FALSE,0,"JackDunc1",2019-06-14 18:29:54,FALSE,"1139590062260330497","1139600867118780416","1019212616630177792","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","millennialllll",0,FALSE,FALSE,NA,NA
"RT @shoppersstop: Make it feel like his day off with the perfect shirt.

This Father’s Day, gift your dad something special from our comple…",FALSE,0,NA,2019-06-14 18:09:48,FALSE,NA,"1139595810713133057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hetalrawat",1,TRUE,FALSE,NA,NA
"Make it feel like his day off with the perfect shirt.

This Father’s Day, gift your dad something special from our… https://t.co/H3QAEjcbD0",FALSE,1,NA,2019-06-14 18:07:49,TRUE,NA,"1139595309493805056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shoppersstop",1,FALSE,FALSE,NA,NA
"RT @UrbanDecay: Love is love, and we will always celebrate it — PRIDE month or not <U+0001F3F3><U+FE0F><U+200D><U+0001F308> Here is some behind-the-scenes action from LA PRIDE…",FALSE,0,NA,2019-06-14 17:58:02,FALSE,NA,"1139592849521967104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LEVIS",3,TRUE,FALSE,NA,NA
"Update Dad's wardrobe this Father's Day with the latest styles and accessories from #PoloRalphLaurenFactoryStore,… https://t.co/CSfYYUtXOy",FALSE,0,NA,2019-06-14 17:54:14,TRUE,NA,"1139591891694116864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LoveHillsboro",0,FALSE,FALSE,NA,NA
